آ س پ	آ.اس.پ
تسه۹۴۰۷	امتیاز تسهیلات مسکن مهرماه ۹۴
تسه۹۴۰۸	امتیازتسهیلات مسکن آبان ماه ۹۴
تسه۹۴۰۹	امتیازتسهیلات مسکن آذرماه ۹۴
تسه۹۴۱۰	امتیازتسهیلات مسکن دی ماه۹۴
تسه۹۴۱۱	امتیازتسهیلات مسکن بهمن ماه۹۴
تسه۹۴۱۲	امتیازتسهیلات مسکن اسفندماه۹۴
تسه۹۵۰۱	امتیاز تسهیلات مسکن فروردین۹۵
تسه۹۵۰۲	امتیاز تسهیلات مسکن اردیبهشت۹۵
تسه۹۵۰۳	امتیاز تسهیلات مسکن خرداد ۹۵
تسه۹۵۰۴	امتیاز تسهیلات مسکن تیر ماه ۹۵
تسه۹۵۰۵	امتیاز تسهیلات مسکن مردادماه۹۵
تسه۹۵۰۶	امتیاز تسهیلات مسکن شهریور ۹۵
تسه۹۵۰۷	امتیاز تسهیلات مسکن مهر ۹۵
تشتاد	صنایع تولیدی اشتاد ایران‌
تکشا	گسترش‌صنایع‌وخدمات‌کشاورزی‌
تکشا۲	گسترش‌صنایع‌وخدمات‌کشاورزی‌
تکمبا	کمباین‌ سازی‌ ایران‌
تکنو	تکنوتار
تلیسه	دامداری تلیسه نمونه
تمحرکه	ماشین‌سازی‌نیرومحرکه‌
تهران۸۱۱	مشارکت شهرداری تهران-۳ماهه۲۱%
تهران۸۱۲	مشارکت شهرداری تهران-۳ماهه۱۸%
توریل	توکاریل
تیپیکو	سرمایه گذاری دارویی تامین
ثاباد	توریستی ورفاهی آبادگران ایران
ثاخت	بین‌المللی‌توسعه‌ساختمان
ثاژن	سخت‌ آژند
ثاصفا	شرکت‌ ساختمان‌ اصفهان‌
ثالوند	سرمایه گذاری مسکن الوند
ثامان	سامان‌ گستراصفهان‌
ثباغ	شهر سازی و خانه سازی باغمیشه
ثپردیس	سرمایه گذاری مسکن پردیس
ثپردیسح	ح.سرمایه گذاری مسکن پردیس
ثتران	سرمایه گذاری مسکن تهران
ثروتم	صندوق س. ثروت آفرین پارسیان
ثرود	سرمایه‌گذاری مسکن زاینده رود
ثشاهد	سرمایه‌ گذاری‌ شاهد
ثشرق	سرمایه گذاری مسکن شمال شرق
ثعمرا	عمران و توسعه شاهد
ثغرب	شرکت سرمایه گذاری مسکن شمالغرب
ثفارس	عمران‌وتوسعه‌فارس‌
ثفارسح	ح . عمران‌وتوسعه‌فارس‌
ثقزوی	شرکت عمران و سازندگی قزوین
ثمسکن	سرمایه‌گذاری‌ مسکن‌
ثنوسا	نوسازی‌وساختمان‌تهران‌
جم	پتروشیمی جم
جوپار۹۹	اوراق اجاره جوپار ۹۹۰۲۱۲
چافست	افست‌
چکاپا	گروه  صنایع کاغذ پارس
چکاوه	صنایع‌کاغذسازی‌کاوه‌
حپارسا	توسعه حمل و نقل ریلی پارسیان
حپترو	حمل و نقل پتروشیمی
حتاید	تایدواترخاورمیانه
حتوکا	حمل‌ونقل‌توکا
حخزر	کشتیرانی دریای خزر
حریل	ریل پردازسیر
حفارس	حمل و نقل بین المللی خلیج فارس
حفاری	حفاری شمال
حکشتی	کشتیرانی جمهوری اسلامی ایران
حکمت	بانک حکمت  ایرانیان
خاذین	سایپاآذین‌
خبهمن	گروه‌بهمن‌
خپارس	پارس‌ خودرو
خپویش	سازه‌ پویش‌
ختراک	ریخته‌گری‌ تراکتورسازی‌ ایران‌
ختور	رادیاتور ایران‌
ختوقا	قطعات‌ اتومبیل‌ ایران‌
خچرخش	چرخشگر
خدیزل	بهمن  دیزل
خراسان	شرکت پتروشیمی خراسان
خریخت	صنایع‌ریخته‌گری‌ایران‌
خرینگ	رینگ‌سازی‌مشهد
خزامیا	زامیاد
خزر	فنرسازی‌زر
خشرق	الکتریک‌ خودرو شرق‌
خصدرا	صنعتی‌ دریایی‌ ایران‌
خصدرا۲	صنعتی‌ دریایی‌ ایران‌
خفناور	مهندسی صنعتی روان فن آور
خگستر	گسترش‌سرمایه‌گذاری‌ایران‌خودرو
خمحرکه	نیرو محرکه‌
خمحور	تولیدمحورخودرو
خمهر	مهرکام‌پارس‌
خموتور	موتورسازان‌تراکتورسازی‌ایران‌
خنصیر	مهندسی‌نصیرماشین‌
خودرو	ایران‌ خودرو
خودکفا	اقتصادی و خودکفایی آزادگان
خوساز	محورسازان‌ایران‌خودرو
دابور	داروسازی‌ ابوریحان‌
دارو	کارخانجات‌داروپخش‌
داسوه	داروسازی‌ اسوه‌
دالبر	البرزدارو
دامین	داروسازی‌ امین‌
دانا	بیمه دانا
دبالک	مواد اولیه دارویی البرز بالک
دپارس	پارس‌ دارو
دتماد	تولیدمواداولیه‌داروپخش‌
دتولید	داروسازی تولید دارو
دجابر	داروسازی‌ جابرابن‌حیان‌
درازک	دارویی‌ رازک‌
دزفول	%مشارکت قائم دزفول سه ماهه ۲۰
دزهراوی	داروسازی‌زهراوی‌
دسانکو	داروسازی سبحان انکولوژی
دسبحا	گروه دارویی سبحان
دسینا	داروسازی‌ سینا
دشیمی	شیمی‌ داروئی‌ داروپخش‌
دعبید	لابراتوارداروسازی‌  دکترعبیدی‌
دفارا	داروسازی‌ فارابی‌
دکوثر	داروسازی‌ کوثر
دکیمی	کیمیدارو
دلر	داروسازی‌ اکسیر
دلقما	دارویی‌ لقمان‌
دماوند	تولید نیروی برق دماوند
دیران	ایران‌دارو
دیرانح	ح . ‌ایران‌دارو
ذرت۹۵۱۰-۰۲	ذرت دانه ای تحویل۹۵۱۰زرین دانه
ذرت۹۵۱۰-۰۵	ذرت دانه ای تحویل۹۵۱۰انبارصفری
ذرت۹۵۱۰-۰۸	ذرت تحویل ۹۵۱۰ دانیال بیستون
ذرت۹۵۱۰-۱۱	ذرت تحویل ۹۵۱۰ انبارکامیارذرت
ذرت۹۵۱۰-۱۳	ذرت دانه تحویل۹۵۱۰انبار بهرامی
ذرت۹۵۱۰-۱۴	ذرت تحویل ۹۵۱۰ انباربهاردانه
ذرت۹۵۱۰-۱۹	ذرت ۹۵۱۰ انبارنوردانه تیران
ذوب	سهامی ذوب آهن اصفهان
رانفور	خدمات‌انفورماتیک‌
رایان	مشارکت رایان سایپا ۳ ماهه ۲۲%
رایان۵۱۲	گواهی سپرد رایان سایپا۳ماهه۲۲%
رتاپ	تجارت الکترونیک  پارسیان
رتکو	کنترل‌خوردگی‌تکین‌کو
رکیش	کارت اعتباری ایران کیش
رهن۹۷۰۴	اوراق رهنی بانک مسکن ۹۷۰۴۱۳
زاگرس	پتروشیمی زاگرس
زگلدشت	کشت و دام گلدشت نمونه اصفهان
زمگسا	کشاورزی‌ ودامپروی‌ مگسال‌
زنجان	صنایع پتروشیمی زنجان
زنگان	صنعت روی زنگان
ساراب	سیمان‌ داراب‌
ساربیل	سیمان آرتا اردبیل
ساروم	سیمان‌ارومیه‌
سامان	بانک سامان
ساینا	صنایع بهداشتی ساینا
سبجنو	سیمان‌ بجنورد
سبزوا	سیمان لار سبزوار
سبهان	سیمان‌ بهبهان‌
سپاس	صندوق س. پاداش سهامداری توسعه۱
سپاها	سیمان‌سپاهان‌
ستران	سیمان‌ تهران‌
سجام	مجتمع سیمان غرب آسیا
سخاش	سیمان‌خاش‌
سخزر	سیمان‌ خزر
سخنم	صندوق.س.سپهرخبرگان نفت
سخواف	سیمان مجد خواف
سدبیر	س. تدبیرگران فارس وخوزستان
سدشت	صنایع سیمان دشتستان
سرچشمه	شرکت سرمایه گذاری مس سرچشمه
سرود	سیمان‌شاهرود
سشرق	سیمان‌ شرق‌
سشرقح	ح . سیمان‌ شرق‌
سشمال	سیمان‌ شمال‌
سصفها	سیمان‌اصفهان‌
سصفها۲	سیمان‌اصفهان‌
سصوفی	سیمان‌ صوفیان‌
سغرب	سیمان‌غرب‌
سفار	سیمان‌فارس‌
سفارس	سیمان فارس و خوزستان
سفارود	کارخانه فارسیت درود
سفانو	سیمان فارس نو
سقاین	سیمان‌ قائن‌
سکرد	سیمان کردستان
سکرد۹۸	مشارکت سیمان کردستان۹۸۰۲۱۹
سکردح	ح . سیمان کردستان
سکرما	سیمان‌ کرمان‌
سکه۹۷۱۲-۰۱	سکه تمام بهار آزادی تحویل۱روزه
سمازن	سیمان‌مازندران‌
سمتاز	سیمان ممتازان کرمان
سمگا	گروه سرمایه گذاری میراث فرهنگی
سنوین	سرمایه گذاری اقتصاد نوین
سنیر	سیمان‌ سفید نی‌ریز
سهرمز	سیمان‌هرمزگان‌
سهگمت	سیمان‌هگمتان‌
سیدکو	سرمایه گذاری توسعه صنایع سیمان
سیلام	سیمان‌ ایلام‌
شاراک	پتروشیمی شازند
شاملا	معدنی‌ املاح‌  ایران‌
شاوان	پالایش نفت لاوان
شبریز	پالایش نفت تبریز
شبندر	پالایش نفت بندرعباس
شبهرن	نفت‌ بهران‌
شپاس	نفت پاسارگاد
شپاکسا	پاکسان‌
شپدیس	پتروشیمی پردیس
شپدیس۲	پتروشیمی پردیس
شپمچا	پارس‌ پامچال‌
شپنا	پالایش نفت اصفهان
شتران	پالایش نفت تهران
شتوکا	توکا رنگ فولاد سپاهان
شخارک	پتروشیمی‌ خارک‌
شراز	پالایش نفت شیراز
شرانل	نفت ایرانول
شسپا	نفت سپاهان
شستان	پتروشیمی گلستان
شسینا	صنایع‌شیمیایی‌سینا
شصفها	پتروشیمی‌ اصفهان‌
شفارا	پتروشیمی‌فارابی‌
شفارس	صنایع‌ شیمیایی‌ فارس‌
شفن	پتروشیمی فناوران
شکبیر	پتروشیمی امیرکبیر
شکربن	کربن‌ ایران‌
شگل	گلتاش‌
شلرد	کود شیمیایی اوره لردگان
شلعاب	لعابیران‌
شنفت	نفت‌ پارس‌
شنفتح	ح . نفت‌ پارس‌
شوش	هنکل‌ پاک‌ وش‌
شیراز	پتروشیمی‌شیراز
شیران	س. صنایع‌شیمیایی‌ایران
صامیا	اجاره پتروامیدآسیا۳ماهه۲۰درصد
صایان۱	اجاره رایان سه ماهه ۲۰ درصد
صایان۱۲	اجاره رایان سه ماهه ۲۰ درصد
صایتل۲	اجاره رایتل۲- سه ماهه ۲۲ درصد
صایتل۹۰۲	صکوک اجاره رایتل  ماهانه ۲۱ %
صایند	صندوق س. گنجینه آینده روشن
صبصیر	اوراق اجاره قائدبصیر ۳ماهه ۲۰%
صبوتا	اجاره بوتان سه ماهه ۲۰درصد
صپارس	اجاره پارس سه ماهه ۲۰ درصد
صچاد	اجاره چادرملو سه ماهه ۲۰ درصد
صخابر	اوراق اجاره شرکت مخابرات ایران
صخابر۲	اوراق اجاره شرکت مخابرات ایران
صدانا	اجاره پترو ریگ سه ماهه ۲۰ درصد
صدانا۹۸	اجاره دانا پتروریگ کیش ۱۳۹۴
صشرق۹۹	مرابحه سیمان شرق ۹۹۰۱۰۹
صغرب	ص.س.زمین وساختمان مسکن شمالغرب
صکاشی	اجاره کاشی پرسپولیس یزد۳ماهه۲۰
صکاوه۷۰۶	صکوک فولادکاوه کیش،سه ماهه۲۰%
صگستر۹۶۳	صکوک بناگسترکرانه،سه ماهه۲۱%
صمپنا۲	اجاره مپنا (۲) سه ماهه ۲۰ درصد
صمگا	مرابحه مگاموتور ۳ ماهه ۲۰ درصد
صملی۹۷۰۹	صکوک ساخت توسعه ملی۳ ماهه ۲۳%
صنوین	صندوق سرمایه‌گذاری صنوین-مختلط
عپردیس۱	سلف اوره پتروشیمی پردیس۱
عپیویسی۲	۲اوراق سلف استاندارد پی وی سی
عذوب۱	سلف تیرآهن۱۴ ذوب آهن مرحله اول
عسپاها	سلف استاندارد سیمان سپاهان
عشیراز۱	سلف اوره پتروشیمی شیراز۱
عگلسانت	سلف کنستانتره سنگ آهن گل گهر
عگلسانت۲	اوراق سلف کنستانتره سنگ آهن
عگندم	اوراق سلف موازی استاندارد گندم
غالبر	لبنیات‌کالبر
غبشهر	صنعتی‌ بهشهر
غبهنوش	بهنوش‌ ایران‌
غپاک	لبنیات‌ پاک‌
غپینو	پارس‌ مینو
غدام	خوراک‌  دام‌ پارس‌
غدشت	دشت‌ مرغاب‌
غسالم	سالمین‌
غشاذر	پگاه‌آذربایجان‌غربی‌
غصینو	صنعتی مینو
غگرجی	بیسکویت‌  گرجی‌
غگل	گلوکوزان‌
غگلستا	شیر پاستوریزه پگاه گلستان
غمارگ	مارگارین‌
غمهرا	تولیدی‌مهرام‌
غمینو	شرکت صنایع غذایی مینو شرق
غنوش	نوش‌ مازندران‌
فاذر	صنایع‌ آذرآب‌
فاذر۲	صنایع‌ آذرآب‌
فاراک	ماشین‌ سازی‌ اراک‌
فارس	صنایع پتروشیمی خلیج فارس
فاسمین	کالسیمین‌
فالوم	آلومتک‌
فاما	صنعتی‌ آما
فاهواز	نورد و لوله اهواز
فاهوازح	ح. نورد و لوله اهواز
فباهنر	مس‌ شهیدباهنر
فپنتا	سپنتا
فجام	جام‌دارو
فجر	فولاد امیرکبیرکاشان
فخاس	فولاد خراسان
فخوز	فولاد  خوزستان
فرآور	فرآوری‌موادمعدنی‌ایران‌
فروس	فروسیلیس‌ ایران‌
فزرین	زرین معدن آسیا
فسپا	گروه‌صنعتی‌سپاهان‌
فسدید	لوله‌وتجهیزات‌ سدید
فسرب	ملی‌ سرب‌وروی‌ ایران‌
فلامی	لامیران‌
فلوله	لوله‌وماشین‌سازی‌ایران‌
فمراد	آلومراد
فملی	ملی‌ صنایع‌ مس‌ ایران‌
فملیح	ح . ملی‌ صنایع‌ مس‌ ایران‌
فن آوا	گروه فن آوا
فنوال	نورد آلومینیوم‌
فنورد	نوردوقطعات‌ فولادی‌
فولاد	فولاد مبارکه اصفهان
فولاد۹۷	مرابحه فولاد مبارکه ۹۷۰۴۲۹
فولاژ	فولاد آلیاژی ایران
فولای	صنایع فولاد آلیاژی یزد
فیروزه	صندوق شاخص۳۰ شرکت فیروزه- سهام
قثابت	قند ثابت‌ خراسان‌
قجام	فرآوردههای غذایی وقندتربت‌جام‌
قچار	فراوردههای غذایی وقند چهارمحال
قشرین	قند شیرین‌ خراسان‌
قشهد	شهد
قصفها	قنداصفهان‌
قلرست	قند لرستان‌
قم۹۷۱	شهرداری قم ۱۳۹۴-آرمان
قم۹۷۲	شهرداری قم ۱۳۹۴- سپهر
قم۹۷۳	شهرداری قم۱۳۹۴-لوتوس پارسیان
قمرو	قند مرودشت‌
قنقش	قندنقش‌جهان‌
قنیشا	قند  نیشابور
قهکمت	قندهکمتان‌
کاذر	فرآورده‌های‌نسوزآذر
کاردان	صندوق س تجارت شاخص کاردان سهام
کاریس	صندوق سرمایه‌گذاری کاریس-سهام
کاسپین	داروسازی کاسپین تامین
کالا۴	سایر اشخاص بورس کالای ایران
کاما	باما
کبافق	معادن‌ بافق‌
کپارس	کاشی‌ پارس‌
کپرور	فرآوری زغال سنگ پروده طبس
کپشیر	پشم‌شیشه‌ایران‌
کترام	تولیدی‌ کاشی‌ تکسرام‌
کتوکا	تولیدی و خدمات صنایع نسوز توکا
کچاد	معدنی‌وصنعتی‌چادرملو
کحافظ	کاشی‌ وسرامیک‌ حافظ‌
کخاک	صنایع‌خاک‌چینی‌ایران‌
کدما	معدنی‌ دماوند
کرازی	کارخانجات‌تولیدی‌شیشه‌رازی‌
کرج۹۷	شهرداری کرج ۱۳۹۴
کرماشا	صنایع پتروشیمی کرمانشاه
کرمان	س. توسعه و عمران استان کرمان
کروی	توسعه‌ معادن‌ روی‌ ایران‌
کروی۲	توسعه‌ معادن‌ روی‌ ایران‌
کساپا	سایپاشیشه‌
کساپاح	ح . سایپاشیشه‌
کساوه	صنایع‌ کاشی‌ و سرامیک‌ سینا
کساوهح	ح . صنایع‌ کاشی‌ وسرامیک‌ سینا
کسرا	سرامیک‌های‌صنعتی‌اردکان‌
کسرام	پارس‌ سرام‌
کسعدی	کاشی‌ سعدی‌
کشرق	صنعتی و معدنی شمال شرق شاهرود
کطبس	ذغال‌سنگ‌ نگین‌ ط‌بس‌
کفپارس	فرآورده‌های‌ نسوز پارس‌
کفرا	فراورده‌ های‌ نسوزایران‌
کقزوی	شیشه‌ قزوین‌
کگل	معدنی و صنعتی گل گهر
کگلح	ح . معدنی و صنعتی گل گهر
کلوند	کاشی‌ الوند
کماسه	تامین‌ ماسه‌ ریخته‌گری‌
کمرجان	بازرگانی و تولیدی مرجان کار
کمنگنز	معادن‌منگنزایران‌
کنور	توسعه معدنی و صنعتی صبانور
کهرام	تولیدی‌گرانیت‌بهسرام‌
کهمدا	شیشه‌ همدان‌
کوثر	بیمه کوثر
کی بی سی	شرکت کی بی سی
کی بی سیح	ح. شرکت کی بی سی
کیمیا	معدنی کیمیای زنجان گستران
گردش۹۵	گواهی سپرده عام گردشگری۹۵۱۲۰۱
گردش۹۵۲	گواهی سپرده عام گردشگری۹۵۱۲۱۵
گلگهر۱	اوراق مشارکت گلگهر ۳ ماهه ۲۰%
گندم۹۷۰۷	مرابحه گندم ۹۷۰۷
گوهران	سرمایه گذاری توسعه گوهران امید
لابسا	آبسال‌
لازما	کارخانه های صنعتی آزمایش
لبوتان	گروه‌صنعتی‌بوتان‌
لپارس	پارس‌ الکتریک‌
لپیام	گسترش صنایع پیام
لخزر	پارس‌ خزر
لسرما	سرما آفرین‌
لوتوس۹۹	اجاره لوتوس پارسیان۹۹۰۷۱۷
ما	بیمه  ما
مارون	پتروشیمی مارون
الماس	صندوق سرمایه‌گذاری الماس-سهام
ماهان۹۹	اجاره هواپیمایی ماهان ۹۹۰۳
مبین	پتروشیمی مبین
مپارس۷۱۲	مشارکت ملی نفت ایران۳ماهه ۲۱%
مداران	داده‌پردازی‌ایران‌
مراز۱	مشارکت شیراز سه ماهه ۲۰ درصد
مراز۲	اوراق مشارکت شهرداری شیراز۱۳۹۲
مسبز۹۷۱۱	مشارکت شهرداری سبزوار،۳ماهه۲۱%
مسینا۹۶۴	مشارکت سینا دارو،سه ماهه ۲۰%
مشهد۶۱۲	مشارکت شهرداری مشهد-۳ماهه ۱۸%
مشهد۹۶۱۲	مشارکت شهرداری مشهد ۱۳۹۲
مشهد۹۷۱	مشارکت شهرداری مشهد۱۳۹۴-آرمان
مشهد۹۷۲	شهرداری مشهد ۱۳۹۴-ارگ هومن
مشهد۹۷۳	شهرداری مشهد۱۳۹۴-لوتوس پارسیان
مشیر۶۱۲	مشارکت شهرداری شیراز،۳ ماهه۲۰%
مشیر۹۷۱۱	مشارکت شهرداری شیراز،۳ماهه۲۱%
مصفا۹۷۱۲	مشارکت شهرداری اصفهان۳ماهه ۱۸%
مصفها۷۱۲	مشارکت شهرداری اصفهان،۳ماهه۲۱%
مغرب۹۷۱۲	مشارکت ملی نفت ایران۳ماهه ۲۱%
مفاخر	توسعه فناوری اطلاعات خوارزمی
ملت	بیمه ملت
ممسنی	پتروشیمی ممسنی
منفت۹۸۱۰	مشارکت س.ص.کارکنان نفت۳ماهه۲۱%
میدکو	هلدینگ صنایع  معدنی خاورمیانه
نارون	ص. س. زمین وساختمان مسکن نارون
نبروج	نساجی‌ بروجرد
نسیم	ص.س.زمین و ساختمان نسیم
نمرینو	ایران‌ مرینوس‌
نوین	بیمه نوین
نیرو	نیرو سرمایه
هپریس۵۱۱	اختیار ف. سرمایه گذاری پردیس
همراه	شرکت ارتباطات سیار ایران
واحیا	م .صنایع و معادن احیاء سپاهان
وآذر	سرمایه‌گذاری‌توسعه‌آذربایجان‌
وارس	سرمایه گذاری ارس صبا
وآرین	شرکت توسعه اقتصادی آرین
واعتبار	سرمایه گذاری اعتبار ایران
واعتبارح	ح.سرمایه گذاری اعتبار ایران
وآفری	بیمه کارآفرین
والبر	سرمایه‌ گذاری‌ البرز(هلدینگ‌
وامید	گروه مدیریت سرمایه گذاری امید
وانصار	بانک انصار
وایران	لیزینگ ایرانیان
وآیند	بانک  آینده
وبانک	سرمایه گذاری گروه توسعه ملی
وبشهر	توسعه‌ صنایع‌ بهشهر(هلدینگ
وبهمن	سرمایه‌گذاری‌بهمن‌
وبوعلی	سرمایه‌گذاری‌بوعلی‌
وبیمه	سرمایه‌ گذاری‌ صنعت‌ بیمه‌
وپاسار	بانک  پاسارگاد
وپترو	سرمایه‌گذاری صنایع پتروشیمی‌
وپخش	داروپخش‌ (هلدینگ‌)
وتوس	توسعه‌شهری‌توس‌گستر
وتوسم	سرمایه‌گذاری‌توسعه‌ملی‌
وتوشه	سرمایه‌ گذاری‌ پارس‌ توشه‌
وتوصا	سرمایه گذاری توسعه صنعتی ایران
وتوکا	سرمایه‌گذاری‌توکافولاد(هلدینگ
وخارزم	سرمایه گذاری خوارزمی
وخاور	بانک خاورمیانه
ودی	بیمه  دی
ورنا	سرمایه‌گذاری‌ رنا(هلدینگ‌
وساپا	سرمایه‌گذاری‌ سایپا
وساخت	سرمایه‌ گذاری‌ ساختمان‌ایران‌
وسبحان	سرمایه گذاری سبحان
وسپه	سرمایه‌گذاری‌ سپه‌
وسکاب	سرمایه گذاری نور کوثر ایرانیان
وشمال	س. چشم انداز توسعه شمال
وشهر	بانک شهر
وصنا	گروه‌ صنایع‌ بهشهر ایران‌
وصندوق	سرمایه‌گذاری‌صندوق‌بازنشستگی‌
وصندوقح	ح.سرمایه گذاری صندوق بازنشستگی
وصنعت	سرمایه‌ گذاری‌ صنعت‌ ومعدن‌
وغدیر	سرمایه‌گذاری‌غدیر(هلدینگ‌)
وقوام	بانک قوامین
وکادو	تکادو
وکار	بانک‌ کارآفرین‌
وکوثر	شرکت اعتباری  کوثر مرکزی
وگستر	گسترش سرمایه گذاری ایرانیان
ولبهمن	شرکت بهمن لیزینگ
ولساپا	لیزینگ رایان‌ سایپا
ولساپاح	ح . لیزینگ رایان‌ سایپا
ولغدر	لیزینگ‌خودروغدیر
ولملت	واسپاری ملت
ومدکو۱	مشارکت میدکو ماهانه ۲۰ درصد
ومدکو۲	اوراق مشارکت میدکو ماهانه %۲۰
ومعادن	توسعه‌معادن‌وفلزات‌
وملت	سرمایه‌گذاری‌ملت‌
وملل	شرکت اعتباری ملل
وملی	گروه‌ صنعتی‌ ملی‌ (هلدینگ‌)
ومهر	بانک مهر اقتصاد
ونفت	سرمایه‌گذاری‌ صنعت‌ نفت‌
ونوین	بانک‌ اقتصاد نوین‌
ونیرو	سرمایه‌گذاری‌ نیرو
ونیکی	سرمایه‌گذاری‌ ملی‌ ایران‌
وهور	مدیریت انرژی امید تابان هور
